ts,cpu_pct,rss_mb
20:33:06,2.2,814.4
20:33:08,2.6,814.4
20:33:10,2.5,814.4
20:33:13,0.2,814.4
20:33:15,0.3,814.4
20:33:17,0.4,814.4
20:33:19,0.7,814.4
20:33:21,0.6,814.4
20:33:23,0.4,814.4
20:33:25,0.8,814.3
20:33:28,0.7,814.3
20:33:30,1.0,814.5
20:33:32,0.5,814.6
20:33:40,0.2,814.6
20:33:42,0.3,815.2
20:33:44,1.1,815.6
20:33:46,0.7,816.2
20:33:49,0.5,816.4
20:33:51,0.7,816.7
20:33:53,8.8,818.9
20:33:55,15.7,821.5
20:33:57,15.2,822.0
20:33:59,11.7,822.6
20:34:01,14.4,821.2
20:34:03,14.8,819.6
20:34:05,11.6,820.7
20:34:07,9.0,824.0
20:34:09,8.3,828.0
20:34:11,5.1,854.5
20:34:13,2.7,941.9
20:34:15,2.2,1026.4
20:34:17,2.4,1117.9
20:34:19,6.2,1121.1
20:34:21,5.8,1121.1
20:34:23,5.4,1121.1
20:34:25,4.2,1121.4
20:34:27,5.0,1122.6
20:34:29,5.4,1122.6
20:34:31,6.0,1123.8
20:34:33,5.4,1131.7
20:34:35,5.8,1132.9
20:34:37,7.0,1132.9
20:34:39,9.2,1116.8
20:34:41,12.7,1116.9
20:34:43,7.2,1116.8
20:34:45,11.8,1114.0
20:34:47,7.9,1114.0
20:34:49,8.1,1114.1
20:34:51,6.9,1114.1
20:34:53,8.2,1114.1
20:34:55,8.8,1027.3
20:34:57,8.8,1018.3
20:34:59,11.1,1003.6
20:35:01,21.3,971.7
20:35:03,13.4,940.1
20:35:05,13.2,942.3
20:35:07,24.9,925.5
20:35:09,7.2,927.2
20:35:11,11.3,930.1
20:35:13,21.6,930.6
20:35:15,5.1,931.3
20:35:17,16.2,934.6
20:35:19,20.8,938.2
20:35:21,8.9,943.9
20:35:23,12.7,946.0
20:35:25,15.6,950.6
20:35:27,9.6,952.5
20:35:29,13.1,954.0
20:35:31,12.8,954.6
20:35:33,6.9,955.2
20:35:35,1.2,955.2
20:35:37,0.0,955.2
20:35:39,0.0,955.2
20:35:41,2.4,955.0
20:35:43,0.0,955.0
20:35:45,0.3,957.2
20:35:47,1.2,957.4
20:35:49,0.0,957.4
20:35:51,0.9,961.8
20:35:53,0.7,961.8
20:35:55,0.1,961.8
20:35:57,8.4,968.2
20:35:59,9.7,1014.8
20:36:01,9.9,1058.8
20:36:03,14.6,1059.8
20:36:05,16.1,1062.3
20:36:07,19.3,1063.0
20:36:09,15.4,1063.8
20:36:11,19.5,1064.4
20:36:13,17.7,1065.1
20:36:15,14.0,1065.8
20:36:17,17.1,1066.2
20:36:19,13.1,1066.9
20:36:21,12.2,1066.9
20:36:23,1.8,1066.9
20:36:25,0.0,1066.9
20:36:27,0.3,1066.9
20:36:29,0.0,1066.9
20:36:31,0.1,1066.9
20:36:33,2.1,1066.9
20:36:35,10.8,1067.1
20:36:37,0.0,1067.1
20:36:39,0.0,1056.1
20:36:41,2.8,1056.4
20:36:43,5.5,1057.1
20:36:45,6.6,1057.9
20:36:47,6.3,1060.8
20:36:49,6.5,1062.4
20:36:51,7.0,1062.5
20:36:53,6.7,1058.7
20:36:55,4.0,1060.2
20:36:57,2.4,1062.2
20:36:59,0.0,1062.2
20:37:01,0.8,1068.8
20:37:03,0.1,1068.8
20:37:05,0.6,1058.2
20:37:07,3.5,748.9
20:37:09,0.0,716.9
20:37:11,0.9,724.5
20:37:13,0.0,582.3
20:37:15,0.3,513.2
20:37:17,0.6,481.8
20:37:19,0.1,481.8
20:37:21,0.7,488.3
20:37:23,0.1,488.3
20:37:25,0.1,488.6
20:37:27,5.9,492.4
20:37:29,5.3,492.8
20:37:31,4.3,493.3
20:37:33,1.4,459.3
20:37:35,0.0,279.2
20:37:37,0.0,177.5
20:37:39,0.2,177.5
20:37:41,0.1,177.5
20:37:43,0.0,177.5
20:37:45,0.0,177.5
20:37:47,0.0,177.6
20:37:49,0.0,177.6
20:37:51,0.1,131.9
20:37:53,0.1,131.9
20:37:55,0.0,131.9
20:37:57,0.0,132.0
20:37:59,0.1,132.0
20:38:01,0.0,132.1
20:38:03,2.2,133.7
20:38:05,4.2,133.9
20:38:07,3.9,133.9
20:38:09,4.3,134.0
20:38:11,1.6,134.1
20:38:13,0.0,134.1
20:38:15,0.1,134.1
20:38:17,0.6,142.9
20:38:19,0.0,142.9
20:38:21,0.0,142.9
20:38:23,0.7,152.5
20:38:25,0.1,152.5
20:38:27,0.2,154.3
20:38:29,0.8,162.1
20:38:31,0.1,162.1
20:38:33,3.3,165.2
20:38:35,5.6,165.3
20:38:37,5.7,174.7
20:38:39,0.8,183.7
20:38:41,0.1,183.7
20:38:43,0.5,192.3
20:38:45,2.9,329.1
20:38:47,2.8,463.0
20:38:49,2.9,484.4
20:38:51,0.0,484.4
20:38:53,0.1,484.4
20:38:55,0.0,484.5
20:38:57,0.1,484.5
20:38:59,0.1,484.6
20:39:01,0.1,484.6
20:39:03,4.3,484.8
20:39:05,5.3,492.6
20:39:07,3.9,492.8
20:39:09,1.1,492.8
20:39:11,0.7,502.3
20:39:13,0.0,502.3
20:39:15,0.5,502.5
20:39:17,0.4,508.9
20:39:19,0.0,508.9
20:39:21,0.8,520.9
20:39:23,0.0,520.9
20:39:25,0.1,525.0
20:39:27,0.5,533.1
20:39:29,0.0,533.1
20:39:31,0.5,539.6
20:39:33,4.7,546.6
20:39:35,6.0,546.6
